rank,tier,slug,title,doc_id,writer_type,target_skill,upgrade_label,sprint_bucket,upgrade_score,clicks_28d,impressions_28d,position_28d,rewrite_score,chars,content_cluster,current_state,next_round,rationale,recommended_depth,recommended_action
49,A_top_100_signal_refresh,ai-menu-design-restaurant-layout,AI Menu Design Restaurant Layout: A Practical Lovart Workflow Guide,blog-ai-menu-design-restaurant-layout-en,How-To,how-to-benchmark-research,pillar_candidate,pillar,1524.08,10.0,1329.0,11.21,676.32,8957,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 1329 impressions; 10 clicks; pos 11.2; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
50,A_top_100_signal_refresh,complete-guide-ai-sketch-drawing-generation,The 2026 Complete Guide to AI Sketch & Drawing Generation,complete-guide-ai-sketch-drawing-generation,Complete Guide,lovart-complete-guide,pillar_candidate,pillar,1598.0,13.0,1431.0,10.73,674.48,60207,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Complete Guide; broad-intent; 1431 impressions; 13 clicks; pos 10.7; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
51,A_top_100_signal_refresh,instagram-stories-ai-guide,How to Create Instagram Stories with AI: The Ultimate 2026 Guide,blog-ig-en,How-To,how-to-benchmark-research,pillar_candidate,pillar,1535.56,13.0,1389.0,9.6,671.12,21947,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 1389 impressions; 13 clicks; pos 9.6; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
52,A_top_100_signal_refresh,how-to-upscale-images-ai-bing,How to Upscale Low Resolution Images with AI — Quality Guide,how-to-upscale-images-ai-bing,How-To,how-to-benchmark-research,pillar_candidate,pillar,1539.8,11.0,1600.0,6.97,668.0,14142,AI Image,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 1600 impressions; 11 clicks; pos 7.0; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
53,A_top_100_signal_refresh,ai-business-card-design,AI Business Card Design: How to Create Professional Cards Fast,blog-ai-business-card-design-en,How-To,how-to-benchmark-research,deep_refresh_candidate,a_support,1381.73,13.0,1323.0,8.57,665.84,12407,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; 1323 impressions; 13 clicks; pos 8.6; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
54,A_top_100_signal_refresh,ai-design-tools-pricing-comparison-2026,"AI Design Tools Pricing Comparison 2026: Plans, Value & Best Picks | Lovart",bd-ai-design-tools-pricing-comparison-2026,Review,lovart-review,pillar_candidate,pillar,1558.73,4.0,1823.0,6.94,655.84,8070,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 1823 impressions; 4 clicks; pos 6.9; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
55,A_top_100_signal_refresh,b42-ai-design-pricing-guide-bing,"The Field Guide to AI Design Pricing: Every Plan, Every Tool, No Nonsense",b42-ai-design-pricing-guide-bing,How-To,how-to-benchmark-research,pillar_candidate,pillar,1547.59,2.0,2355.0,6.21,638.4,11188,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 2355 impressions; 2 clicks; pos 6.2; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
56,A_top_100_signal_refresh,6-best-ai-character-consistency-tools-2026,6 Best AI Character Consistency Tools in 2026: Keep Your Character Looking the Same Across Every Scene,6-best-ai-character-consistency-tools-2026,How-To,how-to-benchmark-research,pillar_candidate,pillar,1521.82,9.0,1428.0,11.29,634.24,13494,Character Consistency,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 1428 impressions; 9 clicks; pos 11.3; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
57,A_top_100_signal_refresh,ai-illustration-mistakes,AI Illustration Mistakes: A Practical Lovart Workflow Guide,ai-illustration-mistakes,How-To,how-to-benchmark-research,pillar_candidate,pillar,1489.92,10.0,740.0,7.74,629.2,8917,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 740 impressions; 10 clicks; pos 7.7; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
58,A_top_100_signal_refresh,what-is-goenhance-ai,What is GoEnhance AI?,what-is-goenhance-ai,Lovart 101,lovart-101,pillar_candidate,pillar,1566.59,5.0,1786.0,6.88,622.88,9606,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Lovart 101; broad-intent; 1786 impressions; 5 clicks; pos 6.9; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
59,A_top_100_signal_refresh,ai-lip-sync-video-2026,AI Lip Sync Video 2026: A Practical Lovart Workflow Guide,3695543b-de29-4c90-bbaf-1a02fd28af9e,How-To,how-to-benchmark-research,pillar_candidate,pillar,1504.37,4.0,1403.0,11.99,622.24,8907,AI Video,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 1403 impressions; 4 clicks; pos 12.0; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
60,A_top_100_signal_refresh,ai-price-list-maker-small-business,AI Price List Maker Small Business: Create Better Visuals From a Clear Brief,blog-ai-price-list-maker-small-business-en,How-To,how-to-benchmark-research,deep_refresh_candidate,a_support,1334.12,10.0,640.0,8.4,621.2,8987,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; 640 impressions; 10 clicks; pos 8.4; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
61,A_top_100_signal_refresh,imagineart-review,Why I Tested ImagineArt: An Honest AI Art Generator Review & Comparison,imagineart-review,Review,lovart-review,pillar_candidate,pillar,1528.05,4.0,1294.0,12.26,613.52,8877,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 1294 impressions; 4 clicks; pos 12.3; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
62,A_top_100_signal_refresh,7-best-ai-poster-design-tools-2026,7 Best AI Poster Design Tools in 2026: From Prompt to Print-Ready Poster in Minutes,7-best-ai-poster-design-tools-2026,How-To,how-to-benchmark-research,pillar_candidate,pillar,1511.16,5.0,1520.0,7.66,601.6,13489,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 1520 impressions; 5 clicks; pos 7.7; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
63,A_top_100_signal_refresh,ai-art-platforms-compared-2026,Leonardo AI vs OpenArt vs Civitai vs Lovart — Best AI Art Platform for Creators,ai-art-platforms-compared-2026,Review,lovart-review,pillar_candidate,pillar,1531.12,8.0,1140.0,10.12,601.2,10567,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 1140 impressions; 8 clicks; pos 10.1; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
64,A_top_100_signal_refresh,expression-sheets-generating-a-grid-of-emotions-for-one-character,"Expression Sheets: Generating a Grid of Emotions (Happy, Sad, Shocked) for One Character",expression-sheets-generating-a-grid-of-emotions-for-one-characte,Best Practice,lovart-best-practice,deep_refresh_candidate,a_support,1342.89,12.0,636.0,8.25,600.88,10000,Character Consistency,signal_refresh_complete,Round 2 -> Round 3,Best Practice; 636 impressions; 12 clicks; pos 8.2; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
65,A_top_100_signal_refresh,5-best-ai-texture-material-generators-2026,"5 Best AI Texture & Material Generators in 2026: PBR, Seamless & Game-Ready Assets",5-best-ai-texture-material-generators-2026,How-To,how-to-benchmark-research,pillar_candidate,pillar,1493.52,10.0,871.0,9.14,599.68,11061,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 871 impressions; 10 clicks; pos 9.1; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
66,A_top_100_signal_refresh,infinite-canvas-ai-design-ui,Infinite Canvas AI Design UI: A Practical Lovart Workflow Guide,infinite-canvas-ai-design-ui,How-To,how-to-benchmark-research,pillar_candidate,pillar,1490.28,3.0,1229.0,5.82,598.32,8937,Lovart Canvas,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 1229 impressions; 3 clicks; pos 5.8; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
67,A_top_100_signal_refresh,complete-guide-ai-poster-design-printing,Complete Guide AI Poster Design Printing: A Practical Lovart Workflow Guide,complete-guide-ai-poster-design-printing,Complete Guide,lovart-complete-guide,pillar_candidate,pillar,1543.03,5.0,966.0,10.07,597.28,8997,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,Complete Guide; broad-intent; 966 impressions; 5 clicks; pos 10.1; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
68,A_top_100_signal_refresh,storyboarding-consistent-character-video-script-ai,Storyboarding Consistent Character Video Script AI: A Practical Lovart Workflow Guide,storyboarding-consistent-character-video-script-ai,How-To,how-to-benchmark-research,pillar_candidate,pillar,1501.24,7.0,1211.0,9.56,596.88,9047,AI Video,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 1211 impressions; 7 clicks; pos 9.6; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
69,A_top_100_signal_refresh,inside-mcot-engine-ai-design-reasoning,Inside the MCoT Engine: Why Lovart's AI Actually Thinks Before It Designs,blog-mcot-engine-en,How-To,how-to-benchmark-research,deep_refresh_candidate,a_support,1354.2,6.0,1331.0,6.96,596.48,25477,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; 1331 impressions; 6 clicks; pos 7.0; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
70,A_top_100_signal_refresh,ai-illustration-prompts,AI Illustration Prompts: A Practical Lovart Workflow Guide,ai-illustration-prompts,How-To,how-to-benchmark-research,pillar_candidate,pillar,1469.16,9.0,451.0,6.01,596.08,8912,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 451 impressions; 9 clicks; pos 6.0; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
71,A_top_100_signal_refresh,looka-alternatives-2026,Looka Alternatives 2026: AI Logo and Brand Identity Tools for Professional Designers,blog-looka-alternatives-2026-en,Review,lovart-review,pillar_candidate,pillar,1546.04,2.0,1811.0,9.42,594.88,14982,Brand System,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 1811 impressions; 2 clicks; pos 9.4; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
72,A_top_100_signal_refresh,ai-social-media-post-generators,7 Best Free AI Social Media Post Generators in 2026 (Tested & Ranked),blog-smg-en,How-To,how-to-benchmark-research,pillar_candidate,pillar,1575.35,12.0,2419.0,27.73,593.52,21697,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; broad-intent; 2419 impressions; 12 clicks; pos 27.7; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
73,A_top_100_signal_refresh,ai-video-generator-2026-review,AI Video Generator 2026 Review: Create Better Visuals From a Clear Brief,64803fe0-b3f9-43b6-bfff-3c867022cf52,Review,lovart-review,pillar_candidate,pillar,1520.11,0.0,1433.0,12.73,584.64,8967,AI Video,signal_refresh_complete,Round 2 -> Round 3,Review; broad-intent; 1433 impressions; pos 12.7; strong pillar potential,"Full multi-round rewrite with SERP evidence, tested walkthrough, framework, cluster hub role.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
74,A_top_100_signal_refresh,ai-design-cost-complete-breakdown-2026,How Much Does AI Design Cost? Complete Breakdown 2026,ai-design-cost-complete-breakdown-2026,How-To,how-to-benchmark-research,deep_refresh_candidate,a_support,1337.62,0.0,1390.0,7.72,581.2,6783,General Creative Workflow,signal_refresh_complete,Round 2 -> Round 3,How-To; 1390 impressions; pos 7.7; worth second-stage depth upgrade,"Second-stage deep refresh: add evidence, judgment, tested sections, and stronger FAQ.","Rewrite with lovart-blog-signal-writer using GSC top queries, improve title/meta/intro/FAQ/internal links."
